Unnamed: 0,global_x,global_y,global_z,target_molecule_name
3745057,-898.3643,1944.3198,0.0,Gfap
3745058,-892.4316,1945.2063,0.0,Gfap
3750240,-891.8898300000001,1951.2223,1.5,Cux2
3750242,-892.24036,1952.1198,1.5,Cux2
3750244,-891.66235,1952.771,1.5,Cux2
3750370,-890.5235,1942.4052,1.5,Cxcl14
3750543,-892.02264,1942.0525,1.5,Dscaml1
3750927,-897.8764,1943.87,1.5,Gfap
3750928,-892.1692,1944.6526,1.5,Gfap
3751708,-895.5712,1942.4794,1.5,Lama3
3751898,-900.0615,1946.2327,1.5,Luzp2
3752237,-888.587,1941.9978,1.5,Meis2
3752590,-891.2171,1944.6947,1.5,Nr4a2
3753245,-889.0101,1951.7289,1.5,Pou3f3
3753257,-897.79974,1949.686,1.5,Pou6f2
3753541,-899.2925,1946.3928,1.5,Ptprk
3754148,-899.3847699999999,1945.7422,1.5,Rgs5
3754149,-898.2417,1951.9734,1.5,Rgs5
3754336,-888.9557,1947.5077,1.5,Rgs6
3754342,-890.9219,1951.4285,1.5,Rgs6
3755985,-891.5600599999999,1942.2545,1.5,Trpc4
3756837,-899.51636,1952.6854,1.5,Wipf3
3756867,-888.3285,1945.6204,1.5,Wnt7b
3757125,-888.5104,1943.0435,3.0,Aqp4
3757512,-900.2541,1954.4325,3.0,Calb2
3757688,-892.09045,1954.4613,3.0,Camk2d
3757839,-893.8662,1943.6166,3.0,Ccbe1
3758125,-893.2285,1950.2007,3.0,Cdh13
3758973,-891.61774,1945.8411,3.0,Cux2
3759329,-893.4013,1943.8619,3.0,Egfr
3759550,-898.7253,1950.3519,3.0,Flrt3
3759978,-887.8115,1953.9418,3.0,Hpse
3760582,-895.2539,1942.108,3.0,Lama3
3760768,-900.20294,1951.0353,3.0,Luzp2
3761155,-889.1197,1942.0702,3.0,Meis2
3761165,-894.3366,1953.2279,3.0,Meis2
3761216,-888.53,1945.5009,3.0,Myh14
3761542,-891.1094400000001,1944.1324,3.0,Nr4a2
3762320,-897.4992699999999,1951.9226,3.0,Pou3f3
3762478,-900.3198,1941.8954,3.0,Prss23
3762679,-890.3829,1946.9264,3.0,Ptprk
3763560,-890.3662,1942.3549,3.0,Rgs6
3763628,-888.6859,1943.3105,3.0,Rorb
3763905,-897.2310000000001,1945.2632,3.0,Serpinf1
3764037,-887.7047,1947.8185,3.0,Sertm1
3764166,-899.5319,1948.6946,3.0,Shisa9
3765196,-891.3766,1947.0482,3.0,Timp3
3765447,-894.6121,1945.3171,3.0,Trp53i11
